,data,porto_alegre
252,1961-01-01,24.958725
253,1961-02-01,25.04956
254,1961-03-01,22.351883
255,1961-04-01,19.141144
256,1961-05-01,17.428589
257,1961-06-01,14.918503
258,1961-07-01,14.341431
259,1961-08-01,16.567673
260,1961-09-01,17.338013
261,1961-10-01,20.718536
262,1961-11-01,21.106918
263,1961-12-01,23.319824
264,1962-01-01,24.246109
265,1962-02-01,23.236893
266,1962-03-01,23.918884
267,1962-04-01,19.749115
268,1962-05-01,15.244614
269,1962-06-01,13.9348755
270,1962-07-01,12.242218
271,1962-08-01,13.682419
272,1962-09-01,16.469315
273,1962-10-01,17.058746
274,1962-11-01,21.498138
275,1962-12-01,23.508377
276,1963-01-01,24.614594
277,1963-02-01,23.985748
278,1963-03-01,23.581299
279,1963-04-01,20.50241
280,1963-05-01,16.752777
281,1963-06-01,14.525543
282,1963-07-01,15.208389
283,1963-08-01,15.188629
284,1963-09-01,18.275055
285,1963-10-01,18.304703
286,1963-11-01,20.035934
287,1963-12-01,22.100052
288,1964-01-01,23.694489
289,1964-02-01,23.745026
290,1964-03-01,23.350082
291,1964-04-01,20.246246
292,1964-05-01,17.362976
293,1964-06-01,12.529266
294,1964-07-01,12.151627
295,1964-08-01,14.591034
296,1964-09-01,16.687775
297,1964-10-01,17.749878
298,1964-11-01,19.971542
299,1964-12-01,22.328156
300,1965-01-01,24.278976
301,1965-02-01,25.565598
302,1965-03-01,20.900665
303,1965-04-01,19.745667
304,1965-05-01,15.7270355
305,1965-06-01,15.886169
306,1965-07-01,12.649124
307,1965-08-01,15.181824
308,1965-09-01,15.963654
309,1965-10-01,18.988663
310,1965-11-01,20.760422
311,1965-12-01,22.834183
312,1966-01-01,24.047028
313,1966-02-01,22.906479
314,1966-03-01,22.321243
315,1966-04-01,20.267502
316,1966-05-01,16.786652
317,1966-06-01,15.966751
318,1966-07-01,14.343643
319,1966-08-01,13.018723
320,1966-09-01,15.223465
321,1966-10-01,17.550919
322,1966-11-01,20.965927
323,1966-12-01,22.159988
324,1967-01-01,23.24147
325,1967-02-01,23.192291
326,1967-03-01,21.48677
327,1967-04-01,19.766663
328,1967-05-01,19.154373
329,1967-06-01,13.290588
330,1967-07-01,14.936661
331,1967-08-01,16.438293
332,1967-09-01,17.584412
333,1967-10-01,21.046112
334,1967-11-01,21.4272
335,1967-12-01,24.108322
336,1968-01-01,24.723328
337,1968-02-01,24.726181
338,1968-03-01,23.271622
339,1968-04-01,17.150803
340,1968-05-01,14.114059
341,1968-06-01,14.269012
342,1968-07-01,15.180344
343,1968-08-01,16.01062
344,1968-09-01,16.460037
345,1968-10-01,18.959381
346,1968-11-01,22.802551
347,1968-12-01,23.740082
348,1969-01-01,23.330566
349,1969-02-01,24.232376
350,1969-03-01,22.756836
351,1969-04-01,20.340897
352,1969-05-01,17.565002
353,1969-06-01,15.2556
354,1969-07-01,14.59758
355,1969-08-01,14.16423
356,1969-09-01,16.82457
357,1969-10-01,17.62297
358,1969-11-01,21.065765
359,1969-12-01,23.099747
360,1970-01-01,24.673523
361,1970-02-01,25.377762
362,1970-03-01,23.959045
363,1970-04-01,21.591309
364,1970-05-01,17.466278
365,1970-06-01,15.218536
366,1970-07-01,14.789993
367,1970-08-01,15.163666
368,1970-09-01,17.06752
369,1970-10-01,18.3078
370,1970-11-01,19.71811
371,1970-12-01,23.057724
372,1971-01-01,24.756317
373,1971-02-01,24.576157
374,1971-03-01,22.446045
375,1971-04-01,18.438171
376,1971-05-01,15.065552
377,1971-06-01,12.175232
378,1971-07-01,14.575226
379,1971-08-01,14.906265
380,1971-09-01,18.887848
381,1971-10-01,19.247055
382,1971-11-01,21.833755
383,1971-12-01,24.274902
384,1972-01-01,24.627945
385,1972-02-01,23.71968
386,1972-03-01,22.344345
387,1972-04-01,19.165253
388,1972-05-01,18.840622
389,1972-06-01,17.763092
390,1972-07-01,14.424713
391,1972-08-01,14.889832
392,1972-09-01,17.172668
393,1972-10-01,18.1427
394,1972-11-01,20.176056
395,1972-12-01,23.28151
396,1973-01-01,24.901642
397,1973-02-01,25.145569
398,1973-03-01,23.061798
399,1973-04-01,21.932602
400,1973-05-01,17.678833
401,1973-06-01,15.903732
402,1973-07-01,14.8701935
403,1973-08-01,13.562805
404,1973-09-01,15.624344
405,1973-10-01,19.054657
406,1973-11-01,20.000824
407,1973-12-01,23.138168
408,1974-01-01,25.074646
409,1974-02-01,24.301102
410,1974-03-01,23.22615
411,1974-04-01,20.182236
412,1974-05-01,18.068314
413,1974-06-01,13.070129
414,1974-07-01,15.9534
415,1974-08-01,14.889343
416,1974-09-01,16.713974
417,1974-10-01,18.10463
418,1974-11-01,20.455948
419,1974-12-01,22.077682
420,1975-01-01,23.927902
421,1975-02-01,24.381912
422,1975-03-01,23.248276
423,1975-04-01,19.829681
424,1975-05-01,17.205673
425,1975-06-01,15.065063
426,1975-07-01,13.545013
427,1975-08-01,16.008774
428,1975-09-01,17.17749
429,1975-10-01,18.482529
430,1975-11-01,20.838272
431,1975-12-01,23.635544
432,1976-01-01,25.035843
433,1976-02-01,24.365967
434,1976-03-01,22.31839
